127.0.0.1 - - [14/Jul/2024:22:38:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:38:20 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:41:47 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:42:43 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:43:12 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:43:18 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:43:40 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:09 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:11 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=a HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:14 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=f HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:16 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=g HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:29 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=g HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:33 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=a HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:36 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=abcd HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:44:37 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item= HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:46:40 +0530] "GET /04-petShop-jsp/petshop.jsp HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:56:44 +0530] "GET /03-jsp-session-demo/jsp-session-todos.jsp?item=ok HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [14/Jul/2024:22:57:05 +0530] "GET /04-petShop-jsp/petshop.jsp HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/petshop.jsp HTTP/1.1" 200 11734
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/style.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-img-1.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/home-img.png HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-img-2.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-2.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-1.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/script.js HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-img-3.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-3.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-img-4.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-4.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [14/Jul/2024:23:04:59 +0530] "GET /04-petShop-jsp/images/s-img-5.jpg HTTP/1.1" 404 792
